minUtil: 2156
1. Pattern: ('40', '48', '52'), ExpSup: 378.53, Utility: 385381
780. Pattern: ('11', '38'), ExpSup: 363.76, Utility: 49199
781. Pattern: ('23',), ExpSup: 919.58, Utility: 48960
782. Pattern: ('25', '31'), ExpSup: 566.32, Utility: 48756
783. Pattern: ('5',), ExpSup: 1466.73, Utility: 48369
784. Pattern: ('5', '74'), ExpSup: 563.51, Utility: 48294
785. Pattern: ('36', '58', '62'), ExpSup: 370.06, Utility: 48150
786. Pattern: ('11', '21'), ExpSup: 367.61, Utility: 48059
787. Pattern: ('21', '64'), ExpSup: 448.37, Utility: 47814
788. Pattern: ('17', '27'), ExpSup: 445.4, Utility: 47508
789. Pattern: ('58', '9'), ExpSup: 720.18, Utility: 47296
790. Pattern: ('21', '7'), ExpSup: 543.82, Utility: 47229
791. Pattern: ('17', '25'), ExpSup: 559.2, Utility: 47079
792. Pattern: ('54', '7'), ExpSup: 535.72, Utility: 46077
793. Pattern: ('17', '42'), ExpSup: 533.76, Utility: 45714
794. Pattern: ('36', '9'), ExpSup: 683.24, Utility: 45683
795. Pattern: ('25', '36', '58'), ExpSup: 347.29, Utility: 45394
796. Pattern: ('31', '44'), ExpSup: 530.68, Utility: 45378
797. Pattern: ('62', '9'), ExpSup: 692.12, Utility: 45217
798. Pattern: ('27', '31'), ExpSup: 405.86, Utility: 45132
799. Pattern: ('21', '5'), ExpSup: 532.86, Utility: 45086
800. Pattern: ('25', '58', '62'), ExpSup: 345.12, Utility: 44406
801. Pattern: ('31', '46'), ExpSup: 516.22, Utility: 44386
802. Pattern: ('5', '54'), ExpSup: 504.22, Utility: 44308
803. Pattern: ('54', '64'), ExpSup: 422.76, Utility: 44266
804. Pattern: ('27', '9'), ExpSup: 504.51, Utility: 43648
805. Pattern: ('25', '36', '62'), ExpSup: 335.8, Utility: 43444
806. Pattern: ('36', '42', '58'), ExpSup: 328.0, Utility: 42787
807. Pattern: ('17', '46'), ExpSup: 502.81, Utility: 42540
808. Pattern: ('42', '58', '62'), ExpSup: 327.57, Utility: 42239
809. Pattern: ('17', '44'), ExpSup: 498.18, Utility: 42116
810. Pattern: ('31',), ExpSup: 1274.29, Utility: 41649
811. Pattern: ('25', '9'), ExpSup: 647.8, Utility: 41598
812. Pattern: ('17', '21'), ExpSup: 476.11, Utility: 41106
813. Pattern: ('17',), ExpSup: 1251.12, Utility: 40662
814. Pattern: ('17', '74'), ExpSup: 474.08, Utility: 40517
815. Pattern: ('42', '9'), ExpSup: 605.77, Utility: 40290
816. Pattern: ('44', '9'), ExpSup: 603.07, Utility: 38704
817. Pattern: ('21', '31'), ExpSup: 457.67, Utility: 38322
818. Pattern: ('31', '74'), ExpSup: 439.62, Utility: 38002
819. Pattern: ('46', '9'), ExpSup: 572.93, Utility: 37634
820. Pattern: ('17', '54'), ExpSup: 427.51, Utility: 37098
821. Pattern: ('27', '58'), ExpSup: 551.33, Utility: 36318
822. Pattern: ('74', '9'), ExpSup: 573.91, Utility: 36189
823. Pattern: ('27', '36'), ExpSup: 526.74, Utility: 35491
824. Pattern: ('27', '62'), ExpSup: 527.13, Utility: 34383
825. Pattern: ('36', '58'), ExpSup: 767.98, Utility: 33744
826. Pattern: ('31', '54'), ExpSup: 383.52, Utility: 33383
827. Pattern: ('58', '62'), ExpSup: 769.84, Utility: 33329
828. Pattern: ('54', '9'), ExpSup: 512.11, Utility: 33130
829. Pattern: ('15',), ExpSup: 1008.29, Utility: 32700
830. Pattern: ('21', '9'), ExpSup: 508.43, Utility: 32601
831. Pattern: ('19',), ExpSup: 958.74, Utility: 32565
832. Pattern: ('25', '27'), ExpSup: 491.3, Utility: 32290
833. Pattern: ('36', '62'), ExpSup: 735.64, Utility: 32252
834. Pattern: ('9',), ExpSup: 1446.46, Utility: 31818
835. Pattern: ('25', '58'), ExpSup: 716.42, Utility: 30961
836. Pattern: ('25', '36'), ExpSup: 699.95, Utility: 30388
837. Pattern: ('25', '62'), ExpSup: 697.0, Utility: 29738
838. Pattern: ('42', '58'), ExpSup: 682.92, Utility: 29567
839. Pattern: ('27', '46'), ExpSup: 445.96, Utility: 28925
840. Pattern: ('15', '54'), ExpSup: 343.02, Utility: 28843
841. Pattern: ('27', '42'), ExpSup: 433.08, Utility: 28730
842. Pattern: ('36', '42'), ExpSup: 649.16, Utility: 28659
843. Pattern: ('27', '44'), ExpSup: 444.43, Utility: 28593
844. Pattern: ('44', '58'), ExpSup: 658.05, Utility: 28302
845. Pattern: ('42', '62'), ExpSup: 650.04, Utility: 28297
846. Pattern: ('46', '58'), ExpSup: 638.37, Utility: 27774
847. Pattern: ('27', '74'), ExpSup: 418.79, Utility: 27602
848. Pattern: ('36', '44'), ExpSup: 636.1, Utility: 27450
849. Pattern: ('44', '62'), ExpSup: 643.15, Utility: 27376
850. Pattern: ('36', '46'), ExpSup: 617.5, Utility: 26984
851. Pattern: ('46', '62'), ExpSup: 621.29, Utility: 26646
852. Pattern: ('58', '74'), ExpSup: 617.98, Utility: 26237
853. Pattern: ('25', '42'), ExpSup: 611.6, Utility: 26177
854. Pattern: ('21', '27'), ExpSup: 393.92, Utility: 25972
855. Pattern: ('27', '54'), ExpSup: 384.29, Utility: 25849
856. Pattern: ('62', '74'), ExpSup: 598.58, Utility: 25672
857. Pattern: ('25', '44'), ExpSup: 604.42, Utility: 25613
858. Pattern: ('36', '74'), ExpSup: 593.11, Utility: 25246
859. Pattern: ('25', '46'), ExpSup: 582.0, Utility: 24911
860. Pattern: ('42', '44'), ExpSup: 572.47, Utility: 24538
861. Pattern: ('27',), ExpSup: 1098.98, Utility: 24398
862. Pattern: ('21', '58'), ExpSup: 556.21, Utility: 24285
863. Pattern: ('42', '46'), ExpSup: 556.1, Utility: 24096
864. Pattern: ('54', '58'), ExpSup: 554.91, Utility: 23977
865. Pattern: ('21', '36'), ExpSup: 540.41, Utility: 23785
866. Pattern: ('25', '74'), ExpSup: 561.49, Utility: 23488
867. Pattern: ('54', '62'), ExpSup: 534.73, Utility: 23131
868. Pattern: ('36', '54'), ExpSup: 530.65, Utility: 23075
869. Pattern: ('44', '46'), ExpSup: 544.2, Utility: 22992
870. Pattern: ('21', '62'), ExpSup: 524.33, Utility: 22863
871. Pattern: ('44', '74'), ExpSup: 526.0, Utility: 22045
872. Pattern: ('70',), ExpSup: 1005.64, Utility: 21824
873. Pattern: ('21', '25'), ExpSup: 517.29, Utility: 21605
874. Pattern: ('25', '54'), ExpSup: 502.18, Utility: 21425
875. Pattern: ('54', '74'), ExpSup: 506.03, Utility: 21409
876. Pattern: ('46', '74'), ExpSup: 486.2, Utility: 21118
877. Pattern: ('42', '74'), ExpSup: 493.55, Utility: 21039
878. Pattern: ('21', '42'), ExpSup: 483.33, Utility: 20825
879. Pattern: ('21', '44'), ExpSup: 472.01, Utility: 20488
880. Pattern: ('44', '54'), ExpSup: 476.0, Utility: 20319
881. Pattern: ('46', '54'), ExpSup: 440.28, Utility: 19507
882. Pattern: ('16',), ExpSup: 592.57, Utility: 18978
883. Pattern: ('42', '54'), ExpSup: 426.86, Utility: 18680
884. Pattern: ('21', '74'), ExpSup: 440.5, Utility: 18577
885. Pattern: ('21', '46'), ExpSup: 403.57, Utility: 17644
886. Pattern: ('58',), ExpSup: 1595.58, Utility: 17462
887. Pattern: ('36',), ExpSup: 1530.49, Utility: 16934
888. Pattern: ('62',), ExpSup: 1537.33, Utility: 16784
889. Pattern: ('21', '54'), ExpSup: 392.63, Utility: 16625
890. Pattern: ('25',), ExpSup: 1445.46, Utility: 15465
891. Pattern: ('42',), ExpSup: 1355.91, Utility: 14849
892. Pattern: ('44',), ExpSup: 1325.93, Utility: 14261
893. Pattern: ('46',), ExpSup: 1284.58, Utility: 14045
894. Pattern: ('74',), ExpSup: 1237.31, Utility: 13298
895. Pattern: ('21',), ExpSup: 1128.59, Utility: 12263
896. Pattern: ('38',), ExpSup: 1101.41, Utility: 12130
897. Pattern: ('54',), ExpSup: 1105.31, Utility: 11965
898. Pattern: ('12',), ExpSup: 541.74, Utility: 11854
899. Pattern: ('13',), ExpSup: 860.84, Utility: 9269
900. Pattern: ('20',), ExpSup: 602.48, Utility: 6792
=============  TOP-K UFPs v1.20 - STATS =============
 Transactions count from database : 3196
 Candidates count : 0
 Total utility : 122114503
 Algorithm run time : 5238 seconds
 Peak memory usage : 177.64 MB
